player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
Spooky,BG,8,0.625,5.5,3.4,2.6,11.0,6.1,391,0.763,17.7,452,1.38,0.26,0.36,0.16,613,0,148,0.5,0.125,0,1
Srtty,AU,5,0.4,3.7,4.2,2.4,4.6,7.2,376,0.6629999999999999,25.4,655,0.94,0.41,0.16,0.18,-402,-9,-654,0.0,0.4,0,0
Starlit,KR,11,0.182,1.6,3.5,4.5,3.6,8.2,391,0.691,29.7,708,1.05,0.37,0.24,0.24,-69,-7,-187,0.182,0.0,0,3
Starry,CN,8,0.25,2.5,3.0,3.3,5.3,8.8,406,0.701,25.6,642,0.91,0.35,0.23,0.13,-330,0,0,0.0,0.0,0,0
Steeelback,FR,8,0.625,5.3,0.6,2.5,12.6,0.9,261,0.7140000000000001,6.2,153,3.08,1.67,0.27,0.54,158,-17,-224,0.25,0.125,0,0
Stefan,RS,8,0.125,1.6,1.5,3.8,4.5,5.9,324,0.679,16.5,381,1.4,0.25,0.38,0.2,-381,-2,-195,0.375,0.375,0,1
Steller,VN,2,0.5,0.9,0.5,4.5,3.5,7.5,324,0.28600000000000003,26.1,536,1.25,0.55,0.21,0.22,-1112,-24,-922,0.0,0.0,0,0
Stend,FR,9,0.33299999999999996,2.1,0.3,3.7,7.3,0.9,229,0.755,6.2,143,3.77,1.85,0.47,0.49,-68,1,137,0.222,0.0,0,0
Stormax,FR,6,0.16699999999999998,2.2,1.8,4.3,7.8,5.6,309,0.867,13.0,352,1.54,0.31,0.37,0.28,-259,0,-309,0.667,0.0,0,0
Strava,IT,6,0.16699999999999998,1.7,1.2,3.0,4.0,6.9,328,0.402,16.2,376,0.51,0.18,0.11,0.01,-163,-4,-319,0.0,0.16699999999999998,0,2
Supa,ES,9,0.667,5.5,5.7,2.1,5.9,9.0,456,0.698,28.6,830,1.43,0.26,0.53,0.1,375,1,-57,0.667,0.0,0,1
Sw3ry,CZ,10,0.2,2.9,1.1,4.3,11.2,0.8,244,0.777,6.3,155,3.12,1.66,0.25,0.4,232,-4,-43,0.4,0.3,0,0
Sylvie,KR,10,0.2,2.3,3.4,4.2,6.2,5.6,331,0.718,15.3,388,1.34,0.45,0.25,0.4,-548,-9,-471,0.6,0.0,0,0
Syzyfek,PL,6,0.33299999999999996,2.2,3.2,3.8,5.3,9.5,428,0.615,30.5,831,0.91,0.38,0.2,0.11,-132,-4,-348,0.16699999999999998,0.16699999999999998,0,0
